PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,GoalX,GoalY,GoalZ
-4.74E-08,2.167668,3.52E-08,-0.323979,-1.149199,-0.23755,0,0,3
-4.74E-08,2.167668,3.52E-08,-0.674152,-2.287651,-0.495984,2.73E-06,0.000288568,2.999995
-4.74E-08,2.167668,3.52E-08,-0.91042,-3.443758,-0.786464,3.08E-06,0.000257663,3.000002
-4.74E-08,2.167668,3.52E-08,-1.174223,-4.596691,-1.047878,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-1.41829,-5.759626,-1.275565,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-1.638564,-6.920633,-1.517496,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-1.92288,-8.066193,-1.746024,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-2.220471,-9.189437,-2.034788,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-2.396811,-10.348805,-2.262395,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-2.657464,-11.477822,-2.521037,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-2.926018,-12.581215,-2.834383,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-3.180571,-13.699085,-3.089341,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-3.499147,-14.741603,-3.475131,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-3.695697,-15.814275,-3.86652,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-3.935198,-16.836323,-4.314651,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-4.174623,-17.779886,-4.881759,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-4.403348,-18.708977,-5.474359,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-4.645035,-19.238556,-6.414926,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-5.637633,-18.645426,-6.601588,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-5.894069,-19.509743,-7.222293,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-6.200189,-20.276823,-7.874471,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-6.086015,-20.597317,-8.977538,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-6.002039,-21.411592,-9.699789,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-5.112751,-20.969995,-10.703366,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-4.933713,-21.570265,-11.587207,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-4.427618,-21.466944,-12.741484,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-3.479729,-20.963072,-13.573033,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-2.299161,-21.18169,-14.14859,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-1.934715,-22.226768,-14.277918,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.91601,-21.577894,-14.574389,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.262109,-21.276625,-14.72413,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.447168,-20.988958,-14.846898,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,2.504826,-20.435646,-14.889333,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.577954,-19.909712,-14.902817,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.681601,-19.451992,-14.882559,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,5.729599,-18.877058,-14.854304,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,6.758779,-18.305981,-14.759312,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,7.879,-18.611837,-14.591053,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,8.529876,-18.961807,-13.785186,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,9.454533,-18.498789,-13.366094,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,10.574411,-18.227718,-13.169213,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.159846,-17.683081,-12.391832,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.051094,-17.44993,-11.115911,4.77E-06,0.000257261,3.000002
