PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,GoalX,GoalY,GoalZ
0,0,0,0,45,0,0,-0.1,3
0.0003479719,0.5451009,0.003423844,-359.9712,44.47543,359.7688,2.726854E-06,-0.09971143,2.999995
0.07585429,2.706736,0.2326396,-2.6049,322.6557,0.00888349,3.088731E-06,-0.09974234,3.000002
0.08654628,3.246609,0.2493972,-1.950205,312.2155,0.5296009,4.753936E-06,-0.09974273,3.000002
0.09152377,3.191019,0.2513947,-1.665202,310.267,0.778595,4.753936E-06,-0.09974273,3.000002
0.09620568,2.880877,0.2490702,-1.45154,310.6093,0.8957862,4.753936E-06,-0.09974273,3.000002
0.1049314,1.561651,0.2320436,-1.479061,317.8267,0.7893255,4.753936E-06,-0.09974273,3.000002
0.1099179,1.044549,0.2223058,-1.304973,320.6094,0.5250757,4.753936E-06,-0.09974273,3.000002
0.1142131,1.053434,0.2153272,-1.943476,320.7364,358.8273,4.753936E-06,-0.09974273,3.000002
0.1193813,1.016588,0.2078224,-2.481333,320.8656,357.6198,4.753936E-06,-0.09974273,3.000002
0.1309177,0.9559041,0.1899841,-3.225628,321.2941,355.5765,4.753936E-06,-0.09974273,3.000002
0.1369865,0.9490713,0.1810004,-3.390723,321.6161,355.323,4.753936E-06,-0.09974273,3.000002
0.1434382,0.959938,0.170858,-3.5347,322.0974,355.0089,4.753936E-06,-0.09974273,3.000002
0.157664,1.064306,0.1478157,-3.701666,323.2291,354.361,4.753936E-06,-0.09974273,3.000002
0.1656159,1.086985,0.1346347,-3.592848,324.1068,354.3324,4.753936E-06,-0.09974273,3.000002
0.1740902,1.104492,0.1205328,-3.404177,325.1263,354.4671,4.753936E-06,-0.09974273,3.000002
0.1830747,1.108941,0.1053612,-3.132926,326.3718,354.7224,4.753936E-06,-0.09974273,3.000002
0.2022794,1.10146,0.07118092,-2.214902,329.7162,355.4419,4.753936E-06,-0.09974273,3.000002
0.2126018,1.080075,0.05226874,-1.589847,331.8921,356.0007,4.753936E-06,-0.09974273,3.000002
0.223621,1.029436,0.0330025,-1.3562,334.4732,356.7781,4.753936E-06,-0.09974273,3.000002
0.2464072,0.7944382,-0.01085541,-1.173633,342.3403,358.6219,4.753936E-06,-0.09974273,3.000002
0.257871,0.6386452,-0.03579984,-1.133725,347.6783,359.6275,4.753936E-06,-0.09974273,3.000002
0.2692423,0.5106646,-0.06223516,-1.113062,353.6315,0.6162871,4.753936E-06,-0.09974273,3.000002
0.2804606,0.4376616,-0.08944999,-1.218606,0.02956918,1.586162,4.753936E-06,-0.09974273,3.000002
0.3023459,0.5719304,-0.1403661,-1.904511,11.03015,3.31512,4.753936E-06,-0.09974273,3.000002
0.3127849,0.7506274,-0.1624499,-2.391188,14.88394,3.915153,4.753936E-06,-0.09974273,3.000002
0.3227558,0.9502709,-0.1827613,-2.726541,17.85858,4.336061,4.753936E-06,-0.09974273,3.000002
0.3322577,1.155368,-0.2011006,-2.883454,19.96641,4.550491,4.753936E-06,-0.09974273,3.000002
0.3498454,1.527622,-0.2306101,-2.790084,21.03097,4.282228,4.753936E-06,-0.09974273,3.000002
0.3578909,1.704587,-0.2417247,-2.487762,19.92422,3.702798,4.753936E-06,-0.09974273,3.000002
0.3655518,1.867067,-0.2505825,-2.11089,17.81828,2.952427,4.753936E-06,-0.09974273,3.000002
0.3729278,2.023899,-0.2575211,-1.651369,14.80414,2.121323,4.753936E-06,-0.09974273,3.000002
0.3869815,2.376662,-0.2671734,-0.6531366,6.746946,0.3106316,4.753936E-06,-0.09974273,3.000002
0.3938211,2.59166,-0.2706348,-0.2148551,1.968634,359.4387,4.753936E-06,-0.09974273,3.000002
0.4006312,2.846303,-0.2740332,-359.8524,357.2322,358.6111,4.753936E-06,-0.09974273,3.000002
0.414633,3.378421,-0.2822351,-359.4899,348.7472,357.3367,4.753936E-06,-0.09974273,3.000002
0.4219182,3.628429,-0.2880635,-359.3549,345.4912,356.8774,4.753936E-06,-0.09974273,3.000002
0.4294761,3.840718,-0.2952982,-359.2226,342.9408,356.5884,4.753936E-06,-0.09974273,3.000002
0.4372712,4.01117,-0.3041846,-359.1212,341.3471,356.3776,4.753936E-06,-0.09974273,3.000002
0.4538025,4.161502,-0.3273927,-358.8208,341.2282,356.4754,4.753936E-06,-0.09974273,3.000002
0.4625401,4.142864,-0.3416836,-358.6272,342.6836,356.7743,4.753936E-06,-0.09974273,3.000002
0.471516,4.084941,-0.3575684,-358.4735,345.057,357.1333,4.753936E-06,-0.09974273,3.000002
0.480708,4.010003,-0.3748084,-358.3759,348.1706,357.5489,4.753936E-06,-0.09974273,3.000002
0.4996519,3.837379,-0.4124115,-358.2663,356.1531,358.6571,4.753936E-06,-0.09974273,3.000002
0.4996519,3.837379,-0.4124115,-358.2663,356.1531,358.6571,4.753936E-06,-0.09974273,3.000002
0.5283904,3.733784,-0.4691414,-359.2207,9.450947,0.8006307,4.753936E-06,-0.09974273,3.000002
0.537775,3.729093,-0.486275,-359.7034,13.08793,1.651228,4.753936E-06,-0.09974273,3.000002
0.5468069,3.749789,-0.501833,-0.1930217,16.00925,2.363318,4.753936E-06,-0.09974273,3.000002
0.5639535,3.751255,-0.5271454,-1.041844,19.06897,3.622699,4.753936E-06,-0.09974273,3.000002
0.5718818,3.735785,-0.5365196,-1.333137,19.06331,3.971933,4.753936E-06,-0.09974273,3.000002
0.5793633,3.707638,-0.5436974,-1.51343,18.05065,4.121381,4.753936E-06,-0.09974273,3.000002
0.586396,3.673687,-0.5487574,-1.582278,16.04217,4.07323,4.753936E-06,-0.09974273,3.000002
0.599116,3.6584,-0.5539883,-1.312886,9.748675,3.40196,4.753936E-06,-0.09974273,3.000002
0.6049049,3.696355,-0.5547855,-1.08754,5.726313,2.911197,4.753936E-06,-0.09974273,3.000002
0.6102344,3.804024,-0.5549105,-0.9368545,1.490446,2.206567,4.753936E-06,-0.09974273,3.000002
0.6152917,3.96904,-0.5550193,-0.7886039,357.2103,1.440281,4.753936E-06,-0.09974273,3.000002
0.6247683,4.42512,-0.5573902,-0.5222148,349.6058,359.6385,4.753936E-06,-0.09974273,3.000002
0.629456,4.667704,-0.5602375,-0.4934031,346.6152,358.7432,4.753936E-06,-0.09974273,3.000002
0.6342502,4.882045,-0.5646464,-0.4613797,344.4087,357.9387,4.753936E-06,-0.09974273,3.000002
0.6391441,5.07501,-0.5707363,-0.4499486,343.0665,357.1376,4.753936E-06,-0.09974273,3.000002
0.6496583,5.320405,-0.5883157,-0.2797958,343.265,355.9213,4.753936E-06,-0.09974273,3.000002
0.6554047,5.35919,-0.59966,-0.1284845,344.8744,355.578,4.753936E-06,-0.09974273,3.000002
0.6615096,5.357426,-0.6123351,-359.9388,347.1402,355.4023,4.753936E-06,-0.09974273,3.000002
0.6679862,5.324477,-0.6262018,-359.7145,350.0561,355.3868,4.753936E-06,-0.09974273,3.000002
0.6821104,5.203083,-0.6563632,-359.2696,357.4005,355.8764,4.753936E-06,-0.09974273,3.000002
0.6897774,5.123912,-0.6718178,-359.1462,1.406666,356.4522,4.753936E-06,-0.09974273,3.000002
0.6977989,5.035481,-0.6869861,-359.0302,5.116057,357.2536,4.753936E-06,-0.09974273,3.000002
0.7061274,4.935139,-0.701645,-358.9277,8.532564,358.2806,4.753936E-06,-0.09974273,3.000002
0.722927,4.758424,-0.7275345,-358.9236,13.67351,0.4084626,4.753936E-06,-0.09974273,3.000002
0.7312374,4.658069,-0.7381746,-358.9687,15.07095,1.506647,4.753936E-06,-0.09974273,3.000002
0.7393639,4.541287,-0.7470939,-358.9833,15.61268,2.586609,4.753936E-06,-0.09974273,3.000002
0.7546183,4.269173,-0.759456,-358.8923,14.16955,4.523395,4.753936E-06,-0.09974273,3.000002
0.7614568,4.14609,-0.7630559,-358.7552,12.37246,5.218764,4.753936E-06,-0.09974273,3.000002
0.7676903,4.041921,-0.7651882,-358.5155,9.926146,5.732507,4.753936E-06,-0.09974273,3.000002
0.7777308,4.015013,-0.7657935,-358.1261,3.764428,5.833852,4.753936E-06,-0.09974273,3.000002
0.7816413,4.094712,-0.7651004,-357.9875,0.3077765,5.504653,4.753936E-06,-0.09974273,3.000002
0.7848949,4.241023,-0.7641587,-358.0106,356.7956,4.94375,4.753936E-06,-0.09974273,3.000002
0.7875831,4.451158,-0.7638269,-358.0545,353.5715,4.146105,4.753936E-06,-0.09974273,3.000002
0.7919089,4.975396,-0.7658412,-358.6729,348.8144,2.085705,4.753936E-06,-0.09974273,3.000002
0.7937309,5.269663,-0.7687554,-359.1324,347.4474,0.8262447,4.753936E-06,-0.09974273,3.000002
0.7954891,5.562845,-0.7730331,-359.6951,346.8648,359.4682,4.753936E-06,-0.09974273,3.000002
0.7973285,5.839797,-0.7787817,-0.2741302,347.1435,358.1173,4.753936E-06,-0.09974273,3.000002
0.8018519,6.27614,-0.7938879,-1.338927,349.7416,355.9723,4.753936E-06,-0.09974273,3.000002
0.8046209,6.44238,-0.8030472,-1.781728,352.0419,355.1913,4.753936E-06,-0.09974273,3.000002
0.8077734,6.581213,-0.8131208,-2.064625,354.8152,354.6147,4.753936E-06,-0.09974273,3.000002
0.8114552,6.681793,-0.8236506,-2.301656,357.899,354.3798,4.753936E-06,-0.09974273,3.000002
0.820465,6.74141,-0.8451164,-2.538131,4.021904,354.9804,4.753936E-06,-0.09974273,3.000002
0.8256891,6.736833,-0.8554672,-2.587974,6.725375,355.6387,4.753936E-06,-0.09974273,3.000002
0.8313626,6.707164,-0.8652838,-2.545877,8.962556,356.5193,4.753936E-06,-0.09974273,3.000002
0.8374462,6.650181,-0.8744305,-2.406375,10.74164,357.6121,4.753936E-06,-0.09974273,3.000002
0.8502144,6.500631,-0.8893046,-2.017673,12.39226,359.8908,4.753936E-06,-0.09974273,3.000002
0.8566809,6.419055,-0.8948753,-1.667912,12.19473,0.9778947,4.753936E-06,-0.09974273,3.000002
0.8630896,6.33169,-0.8991864,-1.181919,11.33006,2.028778,4.753936E-06,-0.09974273,3.000002
0.8692167,6.262708,-0.9020815,-0.6380744,9.809881,2.908028,4.753936E-06,-0.09974273,3.000002
0.8803527,6.183918,-0.904412,-359.3001,5.082613,4.266336,4.753936E-06,-0.09974273,3.000002
0.8851494,6.203117,-0.9044421,-358.5852,2.304091,4.695802,4.753936E-06,-0.09974273,3.000002
