Time,Lat,Lon,Roll,Pitch,Yaw,Hight,PWM1,PWM2,PWM3,PWM4,,,
0,20.99498,0,1.060399,0.667288,-0.253584,51,51,51,51,,,,
0,20.999575,0,0.286185,-0.226585,-0.518151,51,51,51,51,,,,#define HOVER_TIME 1500000
0,20.992094,0,1.490639,-0.499808,-0.844998,51,51,51,51,,,,#define HOVER_THROTTLE 50
0,20.976675,0,2.692341,-0.212058,-1.063332,51,51,51,51,,,,#define MIN_CTRL_THROTTLE 45
0,20.992424,0,1.493859,-0.370173,-1.247095,51,51,51,51,,,,#define MAX_CTRL_THROTTLE 53
0,21.997625,0,0.402612,-0.739189,-1.75792,51,51,51,51,,,,
0,21.993265,0,-0.701027,-1.232335,-2.167112,51,51,51,51,,,,#define Kp ? ? ? 0.1f
0,21.996391,0,0.20868,-1.01665,-2.96462,51,51,51,51,,,,#define KpH ? ? ?0.1f
0,20.990713,0,1.36697,-1.017567,-3.225764,51,51,51,51,,,,
0,20.997829,0,0.123675,-0.814416,-3.500415,51,51,51,51,,,,
0,20.991032,0,1.213194,-1.154232,-3.781839,51,51,51,51,,,,
0,20.986206,0,2.045974,-0.356731,-3.908132,51,51,51,51,,,,
0,20.997953,0,0.799808,-0.002355,-3.971351,51,51,51,51,,,,
0,19.989206,0,1.802439,0.542861,-4.033282,51,51,51,51,,,,
0,19.984861,0,2.147345,-0.599559,-4.037993,51,51,51,51,,,,
0,19.982227,0,2.348119,0.567043,-3.918434,51,51,51,51,,,,
0,20.984034,0,1.591961,1.568017,-3.804814,51,51,51,51,,,,
0,20.986031,0,2.034721,0.477517,-3.733645,51,51,51,51,,,,
0,20.990755,0,1.693029,-0.155797,-2.793722,51,51,51,51,,,,
0,20.998741,0,0.597326,0.192174,-2.272192,51,51,51,51,,,,
0,20.998653,0,-0.621351,-0.186598,-2.184136,51,51,51,51,,,,
0,21.990095,0,-1.688116,0.326311,-1.750316,51,51,51,51,,,,
0,21.973906,0,-2.780507,-0.240826,-1.530053,51,51,51,51,,,,
0,21.987577,0,-1.851777,-0.527898,-0.946749,51,51,51,51,,,,
0,21.992378,0,-1.1802,-0.939251,-0.123528,51,51,51,51,,,,
0,21.975809,0,-2.133288,-1.63439,0.186283,51,51,51,51,,,,
